filename,formula,absorbing_element,oxidation_state,coordination_number
as2o3_100K_scan1.xdi,As2O3,As,3,3
as2o3_100K_scan2.xdi,As2O3,As,3,3
as2o3_100K_scan3.xdi,As2O3,As,3,3
as2o3_10K_scan1.xdi,As2O3,As,3,3
as2o3_10K_scan2.xdi,As2O3,As,3,3
as2o3_10K_scan3.xdi,As2O3,As,3,3
as2o3_roomt_scan1.xdi,As2O3,As,3,3
as2o3_roomt_scan2.xdi,As2O3,As,3,3
as2o3_roomt_scan3.xdi,As2O3,As,3,3
as2o5_100K_scan1.xdi,As2O5,As,5,4
as2o5_100K_scan2.xdi,As2O5,As,5,4
as2o5_100K_scan3.xdi,As2O5,As,5,4
as2o5_10K_scan1.xdi,As2O5,As,5,4
as2o5_10K_scan2.xdi,As2O5,As,5,4
as2o5_10K_scan3.xdi,As2O5,As,5,4
as2o5_roomt_scan1.xdi,As2O5,As,5,4
as2o5_roomt_scan2.xdi,As2O5,As,5,4
as2o5_roomt_scan3.xdi,As2O5,As,5,4
as2s3_100K_scan1.xdi,As2S3,As,3,3
as2s3_100K_scan2.xdi,As2S3,As,3,3
as2s3_100K_scan3.xdi,As2S3,As,3,3
as2s3_10K_scan1.xdi,As2S3,As,3,3
as2s3_10K_scan2.xdi,As2S3,As,3,3
as2s3_10K_scan3.xdi,As2S3,As,3,3
as2s3_roomt_scan1.xdi,As2S3,As,3,3
ass_100K_scan1.xdi,AsS,As,2,2
ass_100K_scan2.xdi,AsS,As,2,2
ass_100K_scan3.xdi,AsS,As,2,2
ass_10K_scan1.xdi,AsS,As,2,2
ass_10K_scan2.xdi,AsS,As,2,2
ass_10K_scan3.xdi,AsS,As,2,2
CdO_10K_01.xdi,CdO,Cd,2,6
CdO_10K_02.xdi,CdO,Cd,2,6
CdO_10K_03.xdi,CdO,Cd,2,6
CdS_10K_01.xdi,CdS,Cd,2,4
CdS_10K_02.xdi,CdS,Cd,2,4
CdS_10K_03.xdi,CdS,Cd,2,4
Chorover13BM_ZnC2O4_rt_01.xdi,ZnC2O4,Zn,2,6
Chorover13BM_ZnC2O4_rt_02.xdi,ZnC2O4,Zn,2,6
Chorover13BM_ZnC2O4_rt_03.xdi,ZnC2O4,Zn,2,6
Chorover13BM_Znfoil_rt_01.xdi,Zn,Zn,0,12
Chorover13BM_ZnSO4_rt_01.xdi,ZnSO4,Zn,2,6
Chorover13BM_ZnSO4_rt_02.xdi,ZnSO4,Zn,2,6
Chorover13BM_ZnSO4_rt_03.xdi,ZnSO4,Zn,2,6
Chorover13BM_ZnS_aldrich_rt_01.xdi,ZnS,Zn,2,4
Chorover13BM_ZnS_aldrich_rt_02.xdi,ZnS,Zn,2,4
Chorover13BM_ZnS_aldrich_rt_03.xdi,ZnS,Zn,2,4
